method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,100,0.7727605118829982,149,145.88717222213745,0.9230769230769231,0.875,1.0,0.9333333333333333,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,100,0.7002071907373554,400,148.1402440071106,1.0,1.0,1.0,1.0,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,100,0.7411334552102378,322,150.55369925498962,0.9230769230769231,1.0,0.8333333333333334,0.9090909090909091,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,100,0.7281535648994516,393,173.32268714904785,0.9230769230769231,0.8571428571428571,1.0,0.9230769230769231,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,5,0.8,12,100,0.6852163315051799,482,159.10642099380493,0.8461538461538461,1.0,0.7142857142857143,0.8333333333333334,experiments/selected_seed5_alpha0.80.txt
NetG-PSO,6,0.8,12,100,0.6860924910285057,461,150.43349194526672,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed6_alpha0.80.txt
NetG-PSO,7,0.8,12,100,0.6984034125533211,264,147.25862884521484,1.0,1.0,1.0,1.0,experiments/selected_seed7_alpha0.80.txt
NetG-PSO,8,0.8,12,100,0.7658135283363803,187,150.956848859787,0.9230769230769231,0.875,1.0,0.9333333333333333,experiments/selected_seed8_alpha0.80.txt
NetG-PSO,9,0.8,12,100,0.730164533820841,382,166.89845609664917,0.7692307692307693,0.6666666666666666,1.0,0.8,experiments/selected_seed9_alpha0.80.txt
NetG-PSO,10,0.8,12,100,0.7294332723948812,386,156.09651923179626,1.0,1.0,1.0,1.0,experiments/selected_seed10_alpha0.80.txt
