method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,100,0.7553703703703705,241,139.8395438194275,0.9333333333333333,1.0,0.875,0.9333333333333333,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,100,0.747037037037037,286,139.06189918518066,1.0,1.0,1.0,1.0,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,100,0.737962962962963,335,139.22234797477722,1.0,1.0,1.0,1.0,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,100,0.7598148148148148,217,140.1820731163025,0.8666666666666667,0.7777777777777778,1.0,0.875,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,5,0.8,12,100,0.7827777777777778,93,136.1504898071289,1.0,1.0,1.0,1.0,experiments/selected_seed5_alpha0.80.txt
NetG-PSO,6,0.8,12,100,0.737962962962963,335,140.29693794250488,0.8666666666666667,0.7777777777777778,1.0,0.875,experiments/selected_seed6_alpha0.80.txt
NetG-PSO,7,0.8,12,100,0.7748148148148148,136,138.9348168373108,1.0,1.0,1.0,1.0,experiments/selected_seed7_alpha0.80.txt
NetG-PSO,8,0.8,12,100,0.7546296296296297,245,140.50611901283264,0.9333333333333333,0.8888888888888888,1.0,0.9411764705882353,experiments/selected_seed8_alpha0.80.txt
NetG-PSO,9,0.8,12,100,0.7716666666666667,153,138.79946994781494,1.0,1.0,1.0,1.0,experiments/selected_seed9_alpha0.80.txt
NetG-PSO,10,0.8,12,100,0.7574074074074074,230,141.33599495887756,1.0,1.0,1.0,1.0,experiments/selected_seed10_alpha0.80.txt
