method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.92,12,20,0.7245822222222221,541,53.42563509941101,0.5789473684210527,0.6428571428571429,0.75,0.6923076923076923,experiments/selected_seed1_alpha0.92.txt
NetG-PSO,2,0.92,12,20,0.777192380952381,394,53.894765853881836,0.8421052631578947,0.8461538461538461,0.9166666666666666,0.88,experiments/selected_seed2_alpha0.92.txt
NetG-PSO,3,0.92,12,20,0.7828165079365079,728,54.34555172920227,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed3_alpha0.92.txt
NetG-PSO,4,0.92,12,20,0.7436279365079366,722,55.84448289871216,0.8421052631578947,0.9090909090909091,0.8333333333333334,0.8695652173913043,experiments/selected_seed4_alpha0.92.txt
NetG-PSO,1,0.8,12,20,0.6462365079365081,217,51.96339297294617,0.631578947368421,0.6666666666666666,0.8333333333333334,0.7407407407407407,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.6522984126984127,4,51.837897062301636,0.8421052631578947,0.8,1.0,0.8888888888888888,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.6517539682539684,365,53.042819023132324,0.631578947368421,0.6666666666666666,0.8333333333333334,0.7407407407407407,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,20,0.6418238095238097,477,53.498417139053345,0.8421052631578947,0.9090909090909091,0.8333333333333334,0.8695652173913043,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,1,0.7,12,20,0.5293333333333332,160,50.49031615257263,0.5263157894736842,0.6,0.75,0.6666666666666666,experiments/selected_seed1_alpha0.70.txt
NetG-PSO,2,0.7,12,20,0.570511111111111,4,50.93925595283508,0.8421052631578947,0.8,1.0,0.8888888888888888,experiments/selected_seed2_alpha0.70.txt
NetG-PSO,3,0.7,12,20,0.5530666666666667,224,52.16247916221619,0.631578947368421,0.6666666666666666,0.8333333333333334,0.7407407407407407,experiments/selected_seed3_alpha0.70.txt
NetG-PSO,4,0.7,12,20,0.5842388888888889,231,50.00525784492493,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed4_alpha0.70.txt
