method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,20,0.6926390631534923,295,28.27945899963379,0.75,0.8,0.6666666666666666,0.7272727272727273,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.7277289836888332,288,27.861467123031616,0.75,0.8,0.6666666666666666,0.7272727272727273,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.6978484130303453,289,27.912002086639404,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,20,0.7046052325851574,144,27.71827507019043,0.6666666666666666,0.75,0.5,0.6,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,5,0.8,12,20,0.7310330405687997,142,27.62655997276306,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed5_alpha0.80.txt
NetG-PSO,6,0.8,12,20,0.715646637854919,100,27.638746976852417,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed6_alpha0.80.txt
NetG-PSO,7,0.8,12,20,0.6968260606905526,175,27.76305317878723,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.6153846153846154,experiments/selected_seed7_alpha0.80.txt
NetG-PSO,8,0.8,12,20,0.7068637018448813,135,27.7365460395813,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,experiments/selected_seed8_alpha0.80.txt
NetG-PSO,9,0.8,12,20,0.7154746967795902,204,27.806427001953125,0.8333333333333334,0.75,1.0,0.8571428571428571,experiments/selected_seed9_alpha0.80.txt
NetG-PSO,10,0.8,12,20,0.6380872717133697,291,27.933983087539673,1.0,1.0,1.0,1.0,experiments/selected_seed10_alpha0.80.txt
NetG-PSO,1,0.8,12,100,0.7129048747618384,229,133.88894629478455,0.75,0.8,0.6666666666666666,0.7272727272727273,experiments/selected_seed1_alpha0.80.txt
