method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,100,0.6770807193642828,357,134.8088629245758,0.75,0.8,0.6666666666666666,0.7272727272727273,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,100,0.7018634694920768,273,133.94396209716797,0.8333333333333334,0.75,1.0,0.8571428571428571,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,100,0.6872903015939403,213,134.3168089389801,0.8333333333333334,0.75,1.0,0.8571428571428571,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,100,0.7613550815558344,154,133.49529504776,0.8333333333333334,0.75,1.0,0.8571428571428571,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,5,0.8,12,100,0.7443329150982853,89,132.27513194084167,0.6666666666666666,0.6,1.0,0.75,experiments/selected_seed5_alpha0.80.txt
NetG-PSO,6,0.8,12,100,0.7465495608531996,213,133.07144689559937,0.8333333333333334,0.75,1.0,0.8571428571428571,experiments/selected_seed6_alpha0.80.txt
NetG-PSO,7,0.8,12,100,0.7018448812677169,155,133.6795117855072,0.75,0.6666666666666666,1.0,0.8,experiments/selected_seed7_alpha0.80.txt
NetG-PSO,8,0.8,12,100,0.7066127608160231,136,132.93034291267395,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_seed8_alpha0.80.txt
NetG-PSO,9,0.8,12,100,0.7257214554579674,296,133.72750520706177,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed9_alpha0.80.txt
NetG-PSO,10,0.8,12,100,0.6900506529113807,202,133.58652520179749,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,experiments/selected_seed10_alpha0.80.txt
