method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,100,0.7970065481758654,16,151.42992067337036,0.7777777777777778,0.8,0.8,0.8,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,100,0.7753040224508887,132,150.0818440914154,0.7777777777777778,0.75,0.75,0.75,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,100,0.7975678203928906,13,147.46390199661255,0.5555555555555556,0.5,0.75,0.6,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,100,0.7424473250478864,104,151.26701593399048,0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,5,0.8,12,100,0.7553565860394673,35,148.66542983055115,0.7777777777777778,1.0,0.6,0.75,experiments/selected_seed5_alpha0.80.txt
NetG-PSO,6,0.8,12,100,0.6885770709905417,358,153.20967817306519,0.8888888888888888,0.8,1.0,0.8888888888888888,experiments/selected_seed6_alpha0.80.txt
NetG-PSO,7,0.8,12,100,0.7570404026905431,26,147.4973921775818,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,experiments/selected_seed7_alpha0.80.txt
NetG-PSO,8,0.8,12,100,0.6811647140926843,194,150.99357390403748,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727273,experiments/selected_seed8_alpha0.80.txt
NetG-PSO,9,0.8,12,100,0.7732460243217961,143,148.23192691802979,0.8888888888888888,0.8,1.0,0.8888888888888888,experiments/selected_seed9_alpha0.80.txt
NetG-PSO,10,0.8,12,100,0.73609811869868,104,149.5238070487976,0.8888888888888888,1.0,0.8,0.8888888888888888,experiments/selected_seed10_alpha0.80.txt
