method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,100,0.7623588456712673,150,136.34002304077148,1.0,1.0,1.0,1.0,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,100,0.6965937078860542,294,136.70667481422424,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,100,0.7166689901947116,214,136.45031905174255,0.8333333333333334,0.75,1.0,0.8571428571428571,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,100,0.7151633440215623,220,136.9256148338318,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,5,0.8,12,100,0.7363028021748224,121,135.792053937912,0.75,0.6666666666666666,1.0,0.8,experiments/selected_seed5_alpha0.80.txt
NetG-PSO,1,0.8,12,100,0.7415307402760352,233,144.87189507484436,0.75,0.8,0.6666666666666666,0.7272727272727273,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,100,0.7718946047678796,112,135.68013191223145,0.75,0.8,0.6666666666666666,0.7272727272727273,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,100,0.7092011710581347,229,137.38394594192505,0.8333333333333334,0.75,1.0,0.8571428571428571,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,100,0.7254519262047493,179,137.32130599021912,0.75,1.0,0.5,0.6666666666666666,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,5,0.8,12,100,0.7500627352572146,199,136.89865493774414,0.8333333333333334,0.75,1.0,0.8571428571428571,experiments/selected_seed5_alpha0.80.txt
NetG-PSO,6,0.8,12,100,0.7603513174404015,158,136.24526691436768,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed6_alpha0.80.txt
NetG-PSO,7,0.8,12,100,0.7477856777731308,90,135.33092188835144,0.5,0.5,0.5,0.5,experiments/selected_seed7_alpha0.80.txt
NetG-PSO,8,0.8,12,100,0.6950694734885451,182,136.87444281578064,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,experiments/selected_seed8_alpha0.80.txt
NetG-PSO,9,0.8,12,100,0.7360100376411544,255,137.62976217269897,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed9_alpha0.80.txt
NetG-PSO,10,0.8,12,100,0.7417630930805335,114,136.01503705978394,1.0,1.0,1.0,1.0,experiments/selected_seed10_alpha0.80.txt
