,weighted_degree
g0,124.92410467321193
g1,105.63081975130412
g2,150.16159523415857
g3,118.02813783454616
g4,88.39468274018357
g5,228.0699419391269
g6,167.82203034217466
g7,178.88151601850484
g8,139.93421225619565
g9,190.52186631348863
g10,187.00837844342558
g11,188.2721164738968
g12,169.65102935522964
g13,118.01379574983049
g14,100.68642834939723
g15,125.13706182090853
g16,125.36819425922528
g17,142.1258961292011
g18,95.1756915683813
g19,128.59216692410766
g20,132.29181483730957
g21,163.93181839228288
g22,155.8026189709997
g23,146.28878107765502
g24,199.2147794842085
g25,138.90979174816715
g26,121.59114714461529
g27,176.65130861319065
g28,162.7913501254895
g29,188.91874718699736
g30,151.5372435727765
g31,134.42058096884725
g32,126.70941376188935
g33,128.31597921550727
g34,104.34224804120747
g35,196.2032391386803
g36,181.29814557556767
g37,195.24738427650126
g38,233.89589391523646
g39,199.3591676186555
g40,161.58532157482261
g41,159.38667507679895
g42,156.20286680349537
g43,184.79891376559672
g44,159.9616316311394
g45,227.564506003146
g46,179.99213111197875
g47,152.9498351516606
g48,133.31431970514834
g49,161.43731188469923
g50,111.36380168016764
g51,166.6319042176958
g52,163.517760822976
g53,155.095035268727
g54,126.54947304315301
g55,128.0451785434171
g56,84.24404234474426
g57,161.80886989779214
g58,147.03401069610084
g59,123.28772899261917
g60,168.46607577695644
g61,237.4672899129935
g62,134.20457704614145
g63,190.660175374563
g64,171.33293327691374
g65,149.250453962909
g66,115.14457062524785
g67,133.7455475001768
g68,151.32204550276688
g69,134.40971852791532
g70,205.47929475374121
g71,184.60025331549537
g72,188.4882525735571
g73,200.1601634022374
g74,208.79607021689222
g75,169.49995418803275
g76,159.55125987234382
g77,157.6392445723772
g78,174.87597078431497
g79,184.28644840216134
g80,144.61836510460125
g81,133.75822971244577
g82,215.4476346257086
g83,150.99787361454574
g84,193.5581747950187
g85,223.91909576759346
g86,220.65491793225223
g87,121.66512847331165
g88,192.85804843215772
g89,149.4383673834796
g90,202.03870428241416
g91,186.60226926971535
g92,192.94049253229633
g93,194.3223724741432
g94,160.1491064280123
g95,194.50511211292792
g96,164.36489010022345
