u,v,weight
Hsa.3004,Hsa.3087,0.8311857422455923
Hsa.3004,Hsa.3835,0.8976223364245685
Hsa.3004,Hsa.3002,0.9351978332903114
Hsa.3004,Hsa.2948,0.9231064652502577
Hsa.3004,Hsa.3006,0.8344647746977668
Hsa.3004,Hsa.3094,0.9261794473650389
Hsa.3004,Hsa.361,0.8434832385106603
Hsa.3004,Hsa.2800,0.8296299512417991
Hsa.3004,Hsa.32730,0.8796139955750562
Hsa.3004,Hsa.3566,0.9266959803500124
Hsa.3004,Hsa.3409,0.7570454138024644
Hsa.3004,Hsa.38205,0.7681299156782073
Hsa.3004,Hsa.2929,0.8179059110797519
Hsa.3004,Hsa.34312,0.7908540786319312
Hsa.3004,Hsa.3409.1,0.8038682288132354
Hsa.3004,Hsa.3197,0.8319184874077981
Hsa.3004,Hsa.39141,0.754394986161506
Hsa.3004,Hsa.3003,0.8933034666439531
Hsa.3004,Hsa.36074,0.8480439290035178
Hsa.3004,Hsa.338,0.8639831365012343
Hsa.3004,Hsa.2846,0.7583367822333899
Hsa.3004,Hsa.3922,0.8451321866658449
Hsa.3004,Hsa.3547,0.7970425023523772
Hsa.3004,Hsa.3295,0.7793940568869169
Hsa.3004,Hsa.3150,0.7972290213778759
Hsa.3004,Hsa.33572,0.7646021568285258
Hsa.3004,Hsa.38375,0.8521628404061136
Hsa.3004,Hsa.2933,0.8783338948777715
Hsa.3004,Hsa.41126,0.7994982964329861
Hsa.3004,Hsa.3001,0.8206106974884728
Hsa.3004,Hsa.3031,0.80538972032948
Hsa.3004,Hsa.29228,0.7980932017362836
Hsa.3004,Hsa.39432,0.7608490174331393
Hsa.3004,Hsa.2795,0.7563421930478759
Hsa.3004,Hsa.2905,0.7660792049939926
Hsa.3004,Hsa.3272,0.7962075470391367
Hsa.3004,Hsa.2902,0.8591073811297993
Hsa.3004,Hsa.2917,0.799954102837885
Hsa.3004,Hsa.34874,0.815904156115013
Hsa.3004,Hsa.3117,0.8169038228871222
Hsa.3004,Hsa.35496,0.8434955959344641
Hsa.3004,Hsa.3910,0.8436720095885365
Hsa.3004,Hsa.3056,0.8236718326398642
Hsa.3004,Hsa.2943,0.8116856514826589
Hsa.3004,Hsa.41124,0.883593343096124
Hsa.3004,Hsa.3152,0.8363647292777571
Hsa.3004,Hsa.28145,0.7819922582733129
Hsa.3004,Hsa.3207,0.8913633027673408
Hsa.3004,Hsa.2870,0.7763534126699733
Hsa.3004,Hsa.41083,0.8196439407689731
Hsa.3004,Hsa.3157,0.8898747767631342
Hsa.3004,Hsa.3328,0.7943932608456925
Hsa.3004,Hsa.3852,0.8063767130024619
Hsa.3004,Hsa.36291,0.8896879742563109
Hsa.3004,Hsa.3088,0.8217235897697265
Hsa.3004,Hsa.39,0.8352157571064129
Hsa.3004,Hsa.35000,0.7503537296920317
Hsa.3004,Hsa.33602,0.7578131413778615
Hsa.3004,Hsa.3185,0.7666335608501356
Hsa.3004,Hsa.3007,0.8772463599857323
Hsa.3004,Hsa.36665,0.8963091729286861
Hsa.3004,Hsa.286,0.8513796989137264
Hsa.3004,Hsa.3209,0.8191034257579324
Hsa.3004,Hsa.31943,0.7675396428249385
Hsa.3004,Hsa.32389,0.8353790312161583
Hsa.3004,Hsa.39288,0.8482528044518429
Hsa.3004,Hsa.305,0.8672587222185737
Hsa.3004,Hsa.34562,0.8215603258466861
Hsa.3004,Hsa.3306,0.8455205879765877
Hsa.3004,Hsa.28914,0.8050208799953561
Hsa.3004,Hsa.3135,0.7656977683469395
Hsa.3004,Hsa.36666,0.792077471069194
Hsa.3004,Hsa.318,0.7540875126763923
Hsa.3004,Hsa.285,0.750986229739879
Hsa.3004,Hsa.28193,0.8084609509910569
Hsa.3004,Hsa.3820,0.7917225706620683
Hsa.3004,Hsa.37058,0.773449578194748
Hsa.3004,Hsa.2966,0.8317567545551127
Hsa.3004,Hsa.36354,0.8001456491803742
Hsa.3004,Hsa.38375.1,0.827561952947343
Hsa.3004,Hsa.370,0.7795850500200838
Hsa.3004,Hsa.2843,0.7508481016484007
Hsa.3004,Hsa.34384,0.8840226991540671
Hsa.3004,Hsa.37038,0.7974248109925234
Hsa.3004,Hsa.3164,0.8022317573896528
Hsa.3004,Hsa.3940,0.801796316630357
Hsa.3004,Hsa.2884,0.8722266455597967
Hsa.3004,Hsa.3298,0.7543015161605918
Hsa.3004,Hsa.348,0.818417434736718
Hsa.3004,Hsa.2863,0.79185433570589
Hsa.3004,Hsa.3145,0.7972218942282622
Hsa.3004,Hsa.2801,0.782393793236256
Hsa.3004,Hsa.287,0.8325787700475624
Hsa.3004,Hsa.3099,0.7735938090000233
Hsa.3004,Hsa.36685,0.8082625709453648
Hsa.3004,Hsa.2955,0.7725725950296664
Hsa.3004,Hsa.2925,0.8132161601915047
Hsa.3004,Hsa.41169,0.7803027222705182
Hsa.3004,Hsa.3138,0.8049720453840293
Hsa.3004,Hsa.38203,0.8564357045314113
Hsa.3004,Hsa.364,0.7788776778123812
Hsa.3004,Hsa.3278,0.8271143148682536
Hsa.3004,Hsa.37021,0.8869954561935307
Hsa.3004,Hsa.2881,0.7634947266253316
Hsa.3004,Hsa.2975,0.7740601526613121
Hsa.3004,Hsa.36683,0.8274974698395294
Hsa.3004,Hsa.35804,0.7879104452900016
Hsa.3004,Hsa.37541,0.8133422928141829
Hsa.3004,Hsa.3115,0.8670556803446964
Hsa.3004,Hsa.34968,0.7876800883608306
Hsa.3004,Hsa.33368,0.7875258522962744
Hsa.3004,Hsa.3198,0.8316448222075309
Hsa.3004,Hsa.37192,0.7612660323747148
Hsa.3004,Hsa.40009,0.7887698525455195
Hsa.3004,Hsa.2974,0.7500927077727964
Hsa.3004,Hsa.37075,0.792620982324275
Hsa.3004,Hsa.3888,0.8050351695056943
Hsa.3004,Hsa.2868,0.7715572965818354
Hsa.3004,Hsa.39753,0.7849916798471986
Hsa.3004,Hsa.37818,0.798916457539386
Hsa.3004,Hsa.3648,0.8229634058286018
Hsa.3004,Hsa.3967,0.7552675582584866
Hsa.3004,Hsa.393,0.7591175469614851
Hsa.3004,Hsa.35968,0.7631537894708614
Hsa.3004,Hsa.3867,0.8063308043099262
Hsa.3004,Hsa.2962,0.8421272974327272
Hsa.3004,Hsa.3010,0.8080308528270265
Hsa.3004,Hsa.2997,0.8374224204406673
Hsa.3004,Hsa.36649,0.7995964006363185
Hsa.3004,Hsa.399,0.8583294956954642
Hsa.3004,Hsa.37931,0.8117550690840503
Hsa.3004,Hsa.36655,0.8320295439133728
Hsa.3004,Hsa.2793,0.8409990687630718
Hsa.3004,Hsa.31794,0.83709002130826
Hsa.3004,Hsa.2862,0.7951304636499918
Hsa.3004,Hsa.367,0.774821961006854
Hsa.3004,Hsa.37983,0.7520902951245511
Hsa.3004,Hsa.2837,0.816338465144626
Hsa.3004,Hsa.2957,0.8217375591444865
Hsa.3004,Hsa.40206,0.8116197647965834
Hsa.3004,Hsa.34431,0.824563761767461
Hsa.3004,Hsa.36671,0.8050834582643627
Hsa.3004,Hsa.31677,0.8503446314936449
Hsa.3004,Hsa.33338,0.7833883780770705
Hsa.3004,Hsa.2904,0.8263592918947645
Hsa.3004,Hsa.2867,0.7591853805045343
Hsa.3004,Hsa.3047,0.761445190714225
Hsa.3004,Hsa.3160,0.8018496258819442
Hsa.3004,Hsa.3071,0.8515246398445853
Hsa.3004,Hsa.3225.1,0.7941146327247074
Hsa.3004,Hsa.3252,0.8464014398410576
Hsa.3004,Hsa.33967,0.7627168548643485
Hsa.3004,Hsa.2959,0.816828368453861
Hsa.3004,Hsa.3715,0.7865564078719924
Hsa.3004,Hsa.3141,0.810887104350608
Hsa.3004,Hsa.3093,0.7684848857062048
Hsa.3004,Hsa.32411,0.7515238515594287
Hsa.3004,Hsa.3248,0.8494368183399411
Hsa.3004,Hsa.306,0.7934080666368216
Hsa.3004,Hsa.33144,0.7709152527194723
Hsa.3004,Hsa.34881,0.8187024488231878
Hsa.3004,Hsa.2968,0.772679659817391
Hsa.3004,Hsa.3337,0.7941847726344206
Hsa.3004,Hsa.3061,0.750834539756458
Hsa.3004,Hsa.305.1,0.8403106602012935
Hsa.3004,Hsa.37654,0.7883790226196148
Hsa.3004,Hsa.39777,0.7608090055924065
Hsa.3004,Hsa.3316,0.8456718037182283
Hsa.3004,Hsa.358,0.7695018581708949
Hsa.3004,Hsa.41002,0.7843480878126128
Hsa.3004,Hsa.36025,0.759316994894677
Hsa.3004,Hsa.34395,0.7873766251806401
Hsa.3004,Hsa.34793,0.7725337737599245
Hsa.3004,Hsa.3963,0.8152630749742837
Hsa.3004,Hsa.410,0.7508424722147662
Hsa.3004,Hsa.33637,0.7556397239624312
Hsa.3004,Hsa.37528,0.8070633532093239
Hsa.3004,Hsa.38040,0.7950402535054012
Hsa.3004,Hsa.41108,0.7797537235365926
Hsa.3004,Hsa.31395,0.7672916639396233
Hsa.3004,Hsa.402,0.7701842334321599
Hsa.3004,Hsa.40449,0.8364383059957766
Hsa.3004,Hsa.320,0.855301351732965
Hsa.3004,Hsa.3250,0.8349601993566629
Hsa.3004,Hsa.36696,0.8044799466766358
Hsa.3004,Hsa.33012,0.7604781368273912
Hsa.3004,Hsa.330,0.8088125682160038
Hsa.3004,Hsa.3105,0.7574551373739393
Hsa.3004,Hsa.3952,0.8576637878459897
Hsa.13491,Hsa.13491.1,0.9743162680716824
Hsa.13491,Hsa.1447,0.7530897911778999
Hsa.13491,Hsa.1273,0.7979185643756923
Hsa.13491,Hsa.1400,0.8322393141932787
