,weighted_degree
Hsa.3004,1003.4863493913762
Hsa.13491,537.1827334732706
Hsa.13491.1,531.8989104525086
Hsa.37254,755.398989556134
Hsa.541,430.02852523771173
Hsa.20836,798.924517739705
Hsa.1977,930.9778601930327
Hsa.44472,659.3477277668376
Hsa.3087,751.2896020850301
Hsa.1447,649.8218136694605
Hsa.750,348.67653187222146
Hsa.45293,616.073911106376
Hsa.2555,913.066936366338
Hsa.467,796.6899199087578
Hsa.539,665.3412293531501
Hsa.2357,1080.63897535626
Hsa.474,827.1716969156215
Hsa.749,683.1455876623359
Hsa.24464,913.0100416169882
Hsa.2597,898.6952594495751
Hsa.3835,897.3801582246335
Hsa.6080,594.2452366273965
Hsa.3002,930.2087339755111
Hsa.1119,639.3722429484262
Hsa.44472.1,498.15579617729145
Hsa.4689,597.3072146420411
Hsa.45293.1,611.3610805349109
Hsa.5710,876.9088870370153
Hsa.20836.1,757.4111337837836
Hsa.909,630.8778551782283
Hsa.878,642.4665202878691
Hsa.1648,730.2949111783935
Hsa.1836,611.1208773419754
Hsa.1273,765.1846018209575
Hsa.19249,416.6603495678122
Hsa.2948,889.7853195033222
Hsa.7877,652.5043444624011
Hsa.1400,550.3006645210359
HSAC07....................................................................................................................................................................................................................................................................,992.1703274733762
HSAC07.....................................................................................................................................................................................................................................................................1,992.170327473375
HSAC07.....................................................................................................................................................................................................................................................................2,992.1703274733761
HSAC07.....................................................................................................................................................................................................................................................................3,992.1703274733756
Hsa.8068,608.6801515739568
Hsa.1139,870.6195934543941
Hsa.27083,1066.9734734074889
Hsa.3006,738.3497558661443
Hsa.5398,526.6500772547195
Hsa.2299,1027.0183563836852
Hsa.1013,676.5111373731468
UMGAP........................................................................................................................................................................................................................................................................,991.6280235049268
UMGAP.........................................................................................................................................................................................................................................................................1,991.6280235049273
UMGAP.........................................................................................................................................................................................................................................................................2,991.628023504927
UMGAP.........................................................................................................................................................................................................................................................................3,991.6280235049273
Hsa.2221,963.2897791152287
Hsa.1238,747.7168376091449
Hsa.6039,825.2146844458565
Hsa.98,849.3672419449275
Hsa.2019,1046.1160425270782
Hsa.1732,534.7010101840691
Hsa.5363,754.6000118999898
Hsa.8093,957.9537730893601
Hsa.5444,656.1966034514222
Hsa.3094,1020.9108345001468
Hsa.1949,1023.700937854765
Hsa.361,1056.4902061642526
Hsa.8125,330.3585264145836
Hsa.2361,654.1932996210579
Hsa.255,1019.9829322273564
Hsa.2699,832.4843786359727
Hsa.1013.1,417.6395894038281
Hsa.2542,1082.0706836528773
Hsa.678,677.4090741671978
Hsa.36957,897.8707642793904
Hsa.44403,602.7537251727358
Hsa.2800,810.102228174867
Hsa.25867,1011.4919899254103
Hsa.6977,944.1349543010284
Hsa.24121,1090.1858912220969
Hsa.9304,731.9360796819396
Hsa.2063,1094.7035727367015
Hsa.36957.1,884.2673083194504
Hsa.938,888.4428966187744
Hsa.33965,836.561512599312
Hsa.2219,927.6304728938926
Hsa.2665,997.0849859011578
Hsa.954,757.2311553771735
Hsa.1812,874.0076804779
Hsa.27685,737.7763703558028
Hsa.20,1087.4095292100208
Hsa.2151,982.1848374787446
Hsa.489,667.535289433849
Hsa.12257,938.5867574720254
Hsa.2026,1023.5046919200579
Hsa.1500,838.8101934104228
Hsa.5292,675.5131943751338
Hsa.18897,454.8321530671715
Hsa.45222,722.8845257469379
Hsa.32730,1095.7047085999563
Hsa.2419,1038.1170377122721
Hsa.1985,738.9479863047696
Hsa.10363,900.7494522191948
Hsa.3566,949.7060637034833
Hsa.689,910.2912559370561
Hsa.624,862.2376978587048
Hsa.1978,908.1313357221976
Hsa.3409,556.0144611516747
Hsa.5346,653.4340331337273
Hsa.38205,950.9439520844426
Hsa.2582,1038.9263348292839
Hsa.11712,278.3815640711293
Hsa.10755,598.3605598899775
Hsa.2600,1063.9879799434789
Hsa.68,971.1704895228918
Hsa.4316,954.9728458186073
Hsa.2918,754.8355255590684
Hsa.914,735.507050549452
Hsa.7280,893.680243975525
Hsa.8126,718.1810670091604
Hsa.1737,153.80537192146832
Hsa.1939,635.8735253227712
Hsa.2929,1068.438414783219
Hsa.21232,1056.0939148375076
Hsa.1961,1119.2876940738618
Hsa.916,721.0301927993954
Hsa.1732.1,511.9258202001546
Hsa.13183,530.5186122679925
Hsa.4252,534.8470300303952
Hsa.572,895.655245720963
Hsa.45260,941.0338487836171
Hsa.73,754.3050157809034
Hsa.3225,798.8790955367064
Hsa.6977.1,792.3152641077988
Hsa.3129,1005.6578843691487
Hsa.34312,1040.7533138595622
Hsa.41309,847.6527242971861
Hsa.537,922.3498032192341
Hsa.36694,946.7444071980784
Hsa.957,720.1903967488034
Hsa.668,626.6480414095738
Hsa.10975,849.223502806669
Hsa.451,880.1036807824212
Hsa.41357,704.1964750237361
Hsa.810,489.8282304420394
Hsa.2071,964.3844398222307
Hsa.2655,1033.264232594228
Hsa.91,779.2990885139071
Hsa.558,804.4588771250491
Hsa.1222,769.2370420838544
Hsa.3017,521.8171690998132
Hsa.3409.1,754.2523887843242
Hsa.652,314.2017593529862
Hsa.1829,665.3027221291991
Hsa.1367,578.916920934846
Hsa.63,900.2904805021864
Hsa.27491,877.0800949141617
Hsa.1803,612.1895484576298
Hsa.3197,987.4125853329413
Hsa.22614,1099.2120875998128
Hsa.45604,965.1404303949107
Hsa.36957.2,976.3337819915008
Hsa.11096,725.3438510023394
Hsa.10306,863.8856628601155
Hsa.43252,650.2156880503907
Hsa.5821,850.6318992856134
Hsa.733,855.0014387835903
Hsa.2357.1,1093.7590723094115
Hsa.31,266.56619419201144
Hsa.24539,1046.2580658550796
Hsa.22614.1,1100.5642761642541
Hsa.6146,877.2915393074692
Hsa.45604.1,977.8620315625535
Hsa.19,1118.8131745567835
Hsa.644,881.9063671531836
Hsa.21418,1030.3867001009069
Hsa.18664,846.8510971701148
Hsa.25451,926.6499137519295
Hsa.8831,226.4400116470865
Hsa.10510,771.2690001035855
Hsa.514,953.188403062189
Hsa.2663,989.3809469759433
Hsa.120,813.9061220560724
Hsa.1137,921.2829512146559
Hsa.2831,838.5694296677295
Hsa.2015,964.9224132342322
Hsa.10305,797.775218070095
Hsa.2244,1023.8194710178147
Hsa.832,670.5875137193793
Hsa.1116,479.3403113824855
Hsa.422,967.9529893283825
Hsa.2773,1001.4694461316284
Hsa.39141,855.2947679092298
Hsa.1822,751.3598289021234
Hsa.6376,1106.26289824142
Hsa.580,1027.2306064004672
Hsa.24948,1107.035932568139
Hsa.24652,1117.17098600162
Hsa.2463,321.1821736088627
Hsa.3003,928.9768748420478
Hsa.812,806.8739142403892
Hsa.8305,831.3524486961977
Hsa.1130,517.0480901882403
Hsa.2360,984.9634462564859
Hsa.570,930.2334194810979
Hsa.15115,556.4247818023937
Hsa.36074,1101.4198310173917
Hsa.304,732.7529889052307
Hsa.7498,917.5558135675867
Hsa.338,1045.5076883839272
Hsa.6671,889.508238317235
Hsa.2846,1077.6315531939065
Hsa.9255,832.6668708291204
Hsa.915,912.9695568063007
Hsa.9817,886.2726743826566
Hsa.1181,806.3605070090547
Hsa.26128,960.002081887735
Hsa.546,976.8800909136584
Hsa.991,903.2158381338647
Hsa.31882,809.5335974061816
Hsa.3922,1115.8477447072232
Hsa.41218,998.0699023619787
Hsa.2710,1006.3243822883679
Hsa.307,1055.386042451215
Hsa.587,585.6873145052978
Hsa.2095,570.9182385634014
Hsa.3547,870.5971936181624
Hsa.3295,1030.2173761154916
Hsa.778,639.0310935846691
Hsa.2014,700.9688618465433
Hsa.1190,835.6290526730093
Hsa.4954,881.3607848656327
Hsa.1939.1,611.6905987003287
Hsa.3150,1085.2091035336837
Hsa.568,946.2812397732088
Hsa.4992,795.9331980641537
Hsa.1006,817.5060190072027
Hsa.9277,883.132502950505
Hsa.9817.1,813.7509523723396
Hsa.21339,621.0657076730506
Hsa.100,860.964160780468
Hsa.8656,965.2288010235147
Hsa.951,681.4536739758236
Hsa.1847,829.3859233246308
Hsa.9623,905.8890154183388
Hsa.8606,1036.2150154699555
Hsa.692,201.52932267400027
Hsa.918,608.8211420932911
Hsa.13102,890.2183264758715
Hsa.8177,1075.8499279989026
Hsa.8147,263.40913549608206
Hsa.1532,537.710776742321
Hsa.41315,516.5464723342908
Hsa.921,749.740607509223
Hsa.3045,1126.8754327396919
Hsa.628,689.579302487403
Hsa.1070,803.5464325881684
Hsa.2714,995.2631720262574
Hsa.2613,992.2818403657641
Hsa.823,568.6808133286345
Hsa.231,784.8562362867103
i............................................................................................................................................................................................................................................................................,19.85657629976108
i.............................................................................................................................................................................................................................................................................1,19.856576299761088
i.............................................................................................................................................................................................................................................................................2,19.85657629976109
i.............................................................................................................................................................................................................................................................................3,19.856576299761084
Hsa.996,622.8362397808064
Hsa.9372,951.8901968655127
Hsa.33572,931.3786272693025
Hsa.692.1,245.83536174884358
Hsa.1825,485.23834633621567
Hsa.2806,895.9096481554305
Hsa.38375,1128.4898354448103
Hsa.81,630.6160218000086
Hsa.5122,971.3132929823742
Hsa.2933,991.8868596227123
Hsa.3440,1001.0231484665012
Hsa.539.1,742.1099287854514
Hsa.10358,569.0361717247739
Hsa.8658,889.3503326319097
Hsa.3769,748.0909037692071
Hsa.41126,616.740225159846
Hsa.854,974.361725445095
Hsa.3001,831.5585405618633
Hsa.3031,1004.9872397032073
Hsa.80,791.8318359011142
Hsa.29228,986.1655722734555
Hsa.20034,868.5923762316976
Hsa.43279,416.325248078564
Hsa.1050,945.2643238774784
Hsa.9407,691.9889353046646
Hsa.39432,1117.8071835011556
Hsa.21660,1041.9243986329293
Hsa.9720,942.9250093976327
Hsa.3063,982.9081711919468
Hsa.2829,990.5082707190793
Hsa.1719,943.2776817634017
Hsa.2795,724.6355545720631
Hsa.994,869.2612126890546
Hsa.6165,1052.0092868996653
Hsa.19784,1013.2085828618491
Hsa.5544,850.8996260218299
Hsa.17256,647.0696783436631
Hsa.1178,721.0709536671543
Hsa.26767,916.9158909018138
Hsa.41259,936.7063301130904
Hsa.3180,862.2543764758877
Hsa.2905,970.6444673301011
Hsa.1534,120.14774862168237
Hsa.1166,818.3435184633017
Hsa.2779,1105.572016286747
Hsa.14229,935.4795057124078
Hsa.787,851.61126752833
Hsa.1478,793.5070498407142
Hsa.1722,881.9880422570396
Hsa.26914,1144.2384929740385
Hsa.122,900.7415584544198
Hsa.2768,881.8724001718222
Hsa.41279,969.162461314658
Hsa.891,486.5728879218739
Hsa.3272,1004.3075507221359
Hsa.9285,1047.3981424588383
Hsa.1263,960.1819005198178
Hsa.2902,1062.2400860066493
Hsa.1063,931.9554011076273
Hsa.3307,902.3180776631539
Hsa.25847,997.6543021800728
Hsa.19003,758.8772527476881
Hsa.256,1000.2281028979229
Hsa.41347,917.1124244301213
Hsa.3121,962.1275584842374
Hsa.1044,879.4487693019771
Hsa.11352,709.22899136577
Hsa.2917,947.1755950258765
Hsa.13598,685.4825716245618
Hsa.1391,1027.5817161610994
Hsa.698,819.5956239711518
Hsa.27324,1125.8766882985087
Hsa.1738,887.6062771702896
Hsa.14360,889.9135250546465
Hsa.9738,850.7553579263945
Hsa.1804,808.355855375561
Hsa.17649,936.1725374694589
Hsa.103,881.6343901137724
Hsa.79,893.3611038003743
Hsa.2950,689.1048070926016
Hsa.34874,1035.3861460323753
Hsa.2598,1051.6484368522092
Hsa.3117,981.2843242194065
Hsa.10176,914.4541395962619
Hsa.1276,839.9998283730924
Hsa.1450,589.0272548218462
Hsa.2126,651.7344627345594
Hsa.2559,1153.2818688119341
Hsa.1096,920.667087157819
Hsa.11096.1,869.3013115323406
Hsa.2809,77.75389238985179
Hsa.1466,762.2255971208573
Hsa.35496,1159.256512559196
Hsa.31.1,258.19552773870504
Hsa.153,859.1542938151711
Hsa.594,900.6165155473207
Hsa.562,747.1615061113229
Hsa.3910,994.0563404078224
Hsa.41181,1059.8107640275587
Hsa.194,1017.9302358606147
Hsa.995,831.1214574516906
Hsa.821,697.4941139460102
Hsa.848,325.35467605183686
Hsa.33982,404.0224082986665
Hsa.9631,995.7156549656262
Hsa.2251,929.8871467545638
Hsa.2600.1,1043.9749092449015
Hsa.1277,819.8880648310547
Hsa.4347,937.9086336547497
Hsa.13702,854.8516544923856
Hsa.13007,969.4873864505863
Hsa.26747,1172.2163292687703
Hsa.3056,932.024612697524
Hsa.36689,601.8597735952469
Hsa.2952,946.9068874011577
Hsa.807,967.5314138656927
Hsa.758,805.7482431499617
Hsa.7671,881.5345417249965
Hsa.2943,1068.339000598303
Hsa.41124,866.2430386772255
Hsa.538,380.4523371353741
Hsa.2505,988.8258936381286
Hsa.2440,489.270907098999
Hsa.20507,1150.77216472842
Hsa.136,796.942003694727
Hsa.6160,673.3594546325703
Hsa.1687,641.5404325548349
Hsa.3152,980.9164570311281
Hsa.5548,957.7251556585145
Hsa.27832,1086.777852315741
Hsa.1008,813.4151161172571
Hsa.1278,874.6327102295576
Hsa.45242,844.876023404641
Hsa.1121,600.1030996036246
Hsa.1670,319.01043017759594
Hsa.5971,773.2170240123216
Hsa.1558,911.3545432585497
Hsa.142,650.3084132143937
Hsa.28145,1151.6715264278284
Hsa.1504,832.6915505519971
Hsa.16100,792.3275085633097
Hsa.454,897.1045712601127
Hsa.5537,836.4753437661195
Hsa.9667,964.7661469111589
Hsa.2995,1062.8870450091883
Hsa.8097,1093.5548628721974
Hsa.11780,810.867000006553
Hsa.41282,718.4526985106668
Hsa.41325,1016.8318140740738
Hsa.19731,700.9180075533345
Hsa.244,788.4942684518818
Hsa.1221,428.57819091666073
Hsa.34351,928.9039354440981
Hsa.2086,1046.0675777357355
Hsa.1033,914.9981783434275
Hsa.24506,644.3799506535595
Hsa.2249,1147.9928757510559
Hsa.30128,551.4531957180984
Hsa.25380,1099.076317558722
Hsa.16086,675.9100399029148
Hsa.2489,1039.6659823490143
Hsa.5143,720.1312296328975
Hsa.8736,1037.4937381794632
Hsa.544,826.0536320143418
Hsa.3207,1015.5519537964589
Hsa.13110,789.0300929291806
Hsa.8596,949.7324694192746
Hsa.714,1015.6704910723852
Hsa.965,1021.3900865993006
Hsa.1473,735.6346819298954
Hsa.1108,970.7622855703559
Hsa.19537,1004.7803909538312
Hsa.2870,1055.8930905657414
Hsa.879,515.6714862066972
Hsa.28608,871.2073600408775
Hsa.1181.1,889.3081244373124
Hsa.929,867.8917685899034
Hsa.3174,843.4402075823022
Hsa.13624,527.4121029876443
Hsa.2592,968.807308948491
Hsa.702,598.0408657588654
Hsa.2232,998.0605087938776
Hsa.41083,1154.175822946606
Hsa.3157,1048.2752602873645
Hsa.3299,1000.2293494877945
Hsa.6633,926.2395326227096
Hsa.4234,997.924115438336
Hsa.2560,838.6781941930234
Hsa.3328,1123.1005596067967
Hsa.42186,408.58223532814134
Hsa.33699,422.30237579878013
Hsa.551,902.3633592698492
Hsa.1821,707.6770176714629
Hsa.35528,861.4704836788642
Hsa.1239,922.9180132971042
Hsa.3852,1069.1455991783437
Hsa.912,493.064095839189
Hsa.1990,999.0357336298548
Hsa.24110,1021.7692950817767
Hsa.2033,1077.7488859710315
Hsa.8583,612.2560209206231
Hsa.1762,895.1159386331253
Hsa.41207,862.4383165410574
Hsa.2588,561.26022311626
Hsa.27721,732.2563077594394
Hsa.7736,864.2489107934134
Hsa.6581,1028.948623120477
Hsa.1896,973.858502137264
Hsa.22251,1075.1382377866944
Hsa.591,1015.9115651319048
Hsa.10067,872.1784716560984
Hsa.36291,1026.6955088082468
Hsa.479,284.8380957463693
Hsa.2612,1045.23938008462
Hsa.1542,1009.8581616137867
Hsa.2163,843.426804056537
Hsa.592,941.3071586415085
Hsa.40177,1019.5874436115507
Hsa.59,919.076137148079
Hsa.35652,1057.1839803191876
Hsa.13670,954.8255158818087
Hsa.2268,926.5883438409433
Hsa.209,737.1932584023635
Hsa.719,991.3718728299386
Hsa.1678,903.3965270883723
Hsa.3088,957.1668738953707
Hsa.41875,815.082005896289
Hsa.7654,860.1674459019727
Hsa.2311,836.8484071873085
Hsa.37937,289.71670693432634
Hsa.3069,1145.1875921026701
Hsa.27686,782.4264642517712
Hsa.17101,940.5295774576331
Hsa.2119,1023.9691218008658
Hsa.2529,471.5385323590862
Hsa.39,996.236582286688
Hsa.5464,702.0149078385189
Hsa.561,942.1363132979733
Hsa.8597,1073.3310926541278
Hsa.35000,958.9095692556498
Hsa.1867,840.5650718405528
Hsa.3909,886.6684352610635
Hsa.39809,831.065775792713
Hsa.19232,1103.3335107347905
Hsa.33602,869.4610308898247
Hsa.3185,935.853828318942
Hsa.50,938.5656051275577
Hsa.34416,1000.3686356884975
Hsa.44787,998.2791997710939
Hsa.831,647.9577379027644
Hsa.9285.1,891.582244300273
Hsa.6472,682.4406214070362
Hsa.949,655.2432149705087
Hsa.3454,876.9391337812209
Hsa.2379,1052.206875067983
Hsa.2951,944.8395455603866
Hsa.3007,884.4659251679109
Hsa.16096,983.5085438281272
Hsa.16793,832.3516388308475
Hsa.934,454.8977425177105
Hsa.7247,883.0475939603209
Hsa.36657,768.0971246695254
a.1000,964.0684263489421
Hsa.36665,892.0675256694861
Hsa.132,759.2441097045958
Hsa.286,942.547030907111
Hsa.215,668.6744851286255
Hsa.1448,1023.8554163155057
Hsa.2589,1045.780550745111
Hsa.2132,1065.9058632107906
Hsa.24206,754.9583132619406
Hsa.5633,883.7637344932274
Hsa.1830,763.8103127847912
Hsa.1164,867.4862448027704
Hsa.4996,838.693392259145
Hsa.12209,822.7606803992338
Hsa.17,779.9513986962354
Hsa.21596,1074.4265931848745
Hsa.1948,926.1029482325574
Hsa.561.1,917.7662191072309
Hsa.26083,1071.3388524400277
Hsa.2393,996.9491096860985
Hsa.21901,357.0030170480192
Hsa.3069.1,850.8539719509376
Hsa.2191,973.3220785785954
Hsa.1591,724.5365200964412
Hsa.726,791.8882984418188
Hsa.962,1066.1081007972145
Hsa.1793,545.2796881612686
Hsa.1312,627.9375271962381
Hsa.10909,562.2126572619469
Hsa.1098,728.8044452330525
Hsa.268,973.8444975237933
Hsa.37169,977.7143078295347
Hsa.22191,866.0673143818922
Hsa.8052,467.35116178624475
Hsa.1215,610.9593936298883
Hsa.8219,705.6190235333014
Hsa.470,653.3949934446714
Hsa.41164,694.501134789131
Hsa.1165,669.4622159919583
Hsa.806,731.7449817607679
Hsa.2094,732.3636027021322
Hsa.2780,991.1381422720855
Hsa.23285,1044.2929157147707
Hsa.6376.1,1024.8652482279601
Hsa.3209,1014.2442726413942
Hsa.853,808.6353719274254
