,weighted_degree
Hsa.3004,973.1010834689047
Hsa.13491,444.6817546104685
Hsa.13491.1,439.0927665556013
Hsa.37254,657.6346452204729
Hsa.541,382.5141880510371
Hsa.20836,735.1115425332963
Hsa.1977,891.2623929148434
Hsa.44472,572.3265663810274
Hsa.3087,685.7326144218091
Hsa.1447,505.9126892200223
Hsa.750,289.2675896607651
Hsa.45293,548.9418233188229
Hsa.2555,847.3475148761174
Hsa.467,726.8335791159448
Hsa.539,601.9082338540672
Hsa.2357,1061.9726657774804
Hsa.474,757.066173864473
Hsa.749,634.8980936042345
Hsa.24464,858.8617186565177
Hsa.2597,837.9490068239886
Hsa.3835,853.7258248694277
Hsa.6080,483.80647726707264
Hsa.3002,881.4274549688395
Hsa.1119,503.7712756809759
Hsa.44472.1,419.0475370018793
Hsa.4689,546.1197125157966
Hsa.45293.1,556.014948120278
Hsa.5710,821.246201411016
Hsa.20836.1,665.8538685884664
Hsa.909,572.5502473960833
Hsa.878,606.2028482935615
Hsa.1648,652.042434212826
Hsa.1836,440.33554169436724
Hsa.1273,624.163501388749
Hsa.19249,304.2607819512989
Hsa.2948,849.0277931810057
Hsa.7877,598.8523932988908
Hsa.1400,455.5669529588396
HSAC07....................................................................................................................................................................................................................................................................,946.3055764356061
HSAC07.....................................................................................................................................................................................................................................................................1,946.3055764356054
HSAC07.....................................................................................................................................................................................................................................................................2,946.3055764356063
HSAC07.....................................................................................................................................................................................................................................................................3,946.3055764356058
Hsa.8068,573.410845176504
Hsa.1139,780.843319333963
Hsa.27083,1054.3697957235156
Hsa.3006,675.3740009672392
Hsa.5398,491.12757419965544
Hsa.2299,961.6769345488322
Hsa.1013,528.3097536135109
UMGAP........................................................................................................................................................................................................................................................................,961.4354912686066
UMGAP.........................................................................................................................................................................................................................................................................1,961.4354912686068
UMGAP.........................................................................................................................................................................................................................................................................2,961.4354912686067
UMGAP.........................................................................................................................................................................................................................................................................3,961.4354912686066
Hsa.2221,912.133323170206
Hsa.1238,643.8066818924522
Hsa.6039,755.976391290449
Hsa.98,815.7866357141208
Hsa.2019,1019.7970602653269
Hsa.1732,469.5025377249779
Hsa.5363,689.5412814431985
Hsa.8093,908.9055859049455
Hsa.5444,607.8529451114234
Hsa.3094,974.8075829886603
Hsa.1949,1000.1672525100854
Hsa.361,1039.3910263161033
Hsa.8125,278.1761245226163
Hsa.2361,586.6613734019829
Hsa.255,993.8174658484763
Hsa.2699,757.4193214258337
Hsa.1013.1,330.51235929405146
Hsa.2542,1053.2267817164225
Hsa.678,647.6467049750205
Hsa.36957,851.0389328925331
Hsa.44403,533.4607885540045
Hsa.2800,751.1616119420496
Hsa.25867,937.0780237315618
Hsa.6977,909.2244316424038
Hsa.24121,1064.331009751516
Hsa.9304,652.6847970541994
Hsa.2063,1002.5785562665037
Hsa.36957.1,831.3542834168182
Hsa.938,853.4939410141022
Hsa.33965,810.0788477624881
Hsa.2219,851.056844372582
Hsa.2665,971.3505127545363
Hsa.954,719.4697186473786
Hsa.1812,810.7300986747514
Hsa.27685,674.6370861991826
Hsa.20,1042.1270912507985
Hsa.2151,884.1622776883693
Hsa.489,623.7277785995208
Hsa.12257,894.4056574554288
Hsa.2026,995.583568186936
Hsa.1500,706.0362058149809
Hsa.5292,605.2193384616413
Hsa.18897,325.2916952328808
Hsa.45222,631.2920842549579
Hsa.32730,1075.476016304514
Hsa.2419,1012.4105253616802
Hsa.1985,671.9294495109289
Hsa.10363,838.3873368913329
Hsa.3566,901.9029774612374
Hsa.689,852.4338536426819
Hsa.624,817.2527893904643
Hsa.1978,867.534241592705
Hsa.3409,463.0229066764801
Hsa.5346,623.7138007728265
Hsa.38205,904.1186484656048
Hsa.2582,1011.2612913256971
Hsa.11712,200.24121065436535
Hsa.10755,520.3904061586557
Hsa.2600,1039.0864969602283
Hsa.68,912.1817453004795
Hsa.4316,888.7127631603569
Hsa.2918,684.0082424248617
Hsa.914,644.2484462266419
Hsa.7280,849.3415798938456
Hsa.8126,638.0374779562579
Hsa.1737,90.76322925704034
Hsa.1939,572.1089455538064
Hsa.2929,1046.3383313473976
Hsa.21232,1010.2937653924581
Hsa.1961,1103.9926752324288
Hsa.916,611.3858416420845
Hsa.1732.1,447.70319151601166
Hsa.13183,444.41339863487934
Hsa.4252,504.3395791285298
Hsa.572,829.6329193273931
Hsa.45260,887.0070247311099
Hsa.73,664.5220115386896
Hsa.3225,714.4715461302152
Hsa.6977.1,700.7615123817368
Hsa.3129,970.3605448889398
Hsa.34312,988.7695295477688
Hsa.41309,775.4745138578376
Hsa.537,853.5323208487613
Hsa.36694,894.5481496824566
Hsa.957,683.0528297947025
Hsa.668,527.7423457701391
Hsa.10975,790.8352484410951
Hsa.451,820.4795916652132
Hsa.41357,579.3010081982925
Hsa.810,370.6491543507292
Hsa.2071,936.9712441861294
Hsa.2655,1008.0095459222115
Hsa.91,713.1493719149779
Hsa.558,732.4177845850676
Hsa.1222,670.3164752199772
Hsa.3017,402.40932842822434
Hsa.3409.1,652.3300547570453
Hsa.652,245.00816512658145
Hsa.1829,553.8841479703158
Hsa.1367,437.01344302524734
Hsa.63,865.0432799856476
Hsa.27491,844.4375701475561
Hsa.1803,507.6083048472749
Hsa.3197,915.3978332307248
Hsa.22614,1048.194177299781
Hsa.45604,927.1664371956035
Hsa.36957.2,953.1889106331713
Hsa.11096,665.4813509854257
Hsa.10306,752.1096406174379
Hsa.43252,588.5639162002547
Hsa.5821,805.9150806215223
Hsa.733,809.8709422140806
Hsa.2357.1,1075.4303460595058
Hsa.31,150.02176116420586
Hsa.24539,1016.3228733455288
Hsa.22614.1,1082.5595785365924
Hsa.6146,777.3736903861632
Hsa.45604.1,932.5494963992476
Hsa.19,1092.6128331856921
Hsa.644,821.2991105589997
Hsa.21418,989.1334218491127
Hsa.18664,739.0529126954266
Hsa.25451,798.0464772022721
Hsa.8831,79.356192332693
Hsa.10510,703.8005246474921
Hsa.514,919.9694952817632
Hsa.2663,959.5265927538298
Hsa.120,728.601446933017
Hsa.1137,871.8017671658333
Hsa.2831,790.3146619474287
Hsa.2015,933.0962858771233
Hsa.10305,722.4923649218478
Hsa.2244,997.3638964352584
Hsa.832,634.981403802794
Hsa.1116,362.39651095540916
Hsa.422,913.5660575439888
Hsa.2773,961.1225338664456
Hsa.39141,821.388460314162
Hsa.1822,602.1185355737164
Hsa.6376,1080.2926177362526
Hsa.580,1000.1612486053998
Hsa.24948,1083.0259435045127
Hsa.24652,1091.5196454505744
Hsa.2463,270.98857987116025
Hsa.3003,869.4630171319919
Hsa.812,755.5180192630739
Hsa.8305,777.4161847611488
Hsa.1130,433.59709750499457
Hsa.2360,948.0710224988143
Hsa.570,871.6402876189338
Hsa.15115,481.7849973505524
Hsa.36074,1068.5688320973343
Hsa.304,627.4496496022247
Hsa.7498,853.0755055744728
Hsa.338,982.9080935720083
Hsa.6671,853.0980875229961
Hsa.2846,1035.8149745281728
Hsa.9255,781.9508514222358
Hsa.915,828.2754735333241
Hsa.9817,852.6385777842333
Hsa.1181,764.7264073686364
Hsa.26128,866.7576775787704
Hsa.546,918.2587769323296
Hsa.991,845.3441751860096
Hsa.31882,713.8242277189511
