,weighted_degree
g0,109.41175762031297
g1,30.45756818691646
g2,65.66870199657791
g3,12.093375538228338
g4,33.15680769609407
g5,19.68944822064296
g6,15.33841198192494
g7,48.01906511597536
g8,20.811235639117495
g9,122.65548006093344
g10,118.70900141293428
g11,22.392920531053704
g12,43.22743287557267
g13,109.44520823840301
g14,27.9662940118457
g15,87.332215876699
g16,98.28680359144217
g17,84.51315037676007
g18,64.6889571565098
g19,151.4822733881649
g20,25.026488409215613
g21,88.07041898090361
g22,128.38228530579562
g23,108.99548729892713
g24,100.86309585836764
g25,9.382037099902412
g26,22.600733670966406
g27,115.56595255498556
g28,93.26120198566929
g29,94.8217498153788
g30,141.73122199574112
g31,151.88418075281805
g32,141.31040688177163
g33,63.59082791444486
g34,41.18552829372026
g35,37.697034865534846
g36,47.88105644998145
g37,114.58300359311826
g38,50.07787796946232
g39,124.75658913876609
g40,158.21612609674432
g41,138.3001683526547
g42,25.82851689292956
g43,101.3781297185284
g44,103.57230004735187
g45,23.533924214948073
g46,112.23427827593996
g47,103.62176405384055
g48,148.90211897545217
g49,182.19823029363044
g50,98.19464914381523
g51,125.74892390437219
g52,131.52811666362416
g53,105.38041809366175
g54,14.979621141928625
g55,142.97011152641446
g56,128.03308896137494
g57,73.75564920066888
g58,31.65219609545138
g59,79.1746470137205
g60,83.30083431112605
g61,96.91175352480732
g62,37.400644009419324
g63,140.49113855297216
g64,107.89610884879217
g65,17.149104566752623
g66,21.223925574518773
g67,32.68465076311783
g68,96.47740447165815
g69,135.45503640720528
g70,64.42543375377113
g71,150.5881647104296
g72,78.28296612251792
g73,75.28420044936495
g74,62.82258240253172
g75,142.0827828943481
g76,109.349904571661
g77,102.71868116299515
g78,122.74800112208513
g79,110.43146579872831
g80,24.826464851104983
g81,78.89270085724446
g82,12.14190906008702
g83,34.942950542427376
g84,88.94524969146741
g85,41.471294004550096
g86,90.97174613061209
g87,38.71372868698716
g88,97.16341122761528
g89,111.62872003650925
g90,13.50347732854279
g91,10.665782701062284
g92,91.60090377840918
g93,105.27440952090963
g94,116.04115017767056
g95,26.21912206666293
g96,87.13825508930412
g97,18.84727010597647
g98,26.96828305055036
g99,17.244926733562696
g100,104.6647526825993
g101,113.6813495447497
g102,103.24274542808867
g103,113.72462571800277
g104,74.66789453126971
g105,14.766842059503063
g106,116.55134508068831
g107,149.14209374328507
g108,93.3176972466311
g109,107.69226853028944
g110,116.29076762806878
g111,22.27270834108496
g112,49.027443423187385
g113,63.27817298887262
g114,115.53849374624426
g115,107.18514944666606
g116,89.55691560025926
