u,v,weight
g0,g499,0.8926566159835947
g0,g19,0.382131397246099
g0,g503,0.7924474423842357
g0,g560,0.4142787681811262
g0,g507,0.5900385395297805
g0,g133,0.4698170915530648
g0,g564,0.3790019722610407
g0,g434,0.5284518833719491
g0,g735,0.43641312391518366
g0,g361,0.8254871189749439
g0,g418,0.8680398781988653
g0,g231,0.5916203466053687
g0,g312,0.5745507760873375
g0,g422,0.4339321827574194
g0,g101,0.8492242965005073
g0,g235,0.5310234371344844
g0,g369,0.9125000252617417
g0,g532,0.7768781697761885
g0,g776,0.5349189318551989
g0,g52,0.5914615848817452
g0,g593,0.4178944054837043
g0,g540,0.8601679528233088
g0,g89,0.8670828698902163
g0,g357,0.7150717493349366
g0,g36,0.3728935502231153
g0,g170,0.9083748443944911
g0,g654,0.4959746972659303
g0,g601,0.9060489708472662
g0,g414,0.8187887348760926
g0,g764,0.86212307695353
g0,g337,0.8434651050328438
g0,g581,0.4697791687074468
g0,g528,0.6125652521609353
g0,g772,0.3626029554989454
g0,g398,0.8498779660303013
g0,g321,0.6603579634234432
g0,g402,0.419012770308306
g0,g752,0.7071382661001127
g0,g565,0.7809316464295715
g0,g699,0.6466818828667616
g0,g325,0.7263260670678965
g0,g703,0.6691317764351014
g0,g679,0.5315349020449774
g0,g683,0.6286595658573292
g0,g203,0.7482396042029632
g0,g16,0.7100115838098077
g0,g313,0.9008639610051936
g0,g126,0.8463881789006286
g0,g260,0.5236848104104733
g0,g370,0.5150230293865441
g0,g504,0.7860728086948503
g0,g317,0.6175112454407738
g0,g480,0.6066505222299975
g0,g374,0.6487126809119316
g0,g671,0.7580423196391941
g0,g297,0.4713949764276428
g0,g167,0.7449256748341614
g0,g114,0.9020901867631802
g0,g411,0.6138746651946201
g0,g224,0.7105303175435999
g0,g37,0.8683600548936358
g0,g789,0.3893337402856209
g0,g602,0.8194498617947947
g0,g736,0.825603415516857
g0,g94,0.8755368208631769
g0,g362,0.7875298575464751
g0,g529,0.8829279177131036
g0,g476,0.8805682722975873
g0,g155,0.9065971865806383
g0,g289,0.46058188372436726
g0,g773,0.6994132973651372
g0,g212,0.7110814387636101
g0,g159,0.5272730190641848
g0,g106,0.5631117543662086
g0,g29,0.4214432770973104
g0,g781,0.4916348794066934
g0,g460,0.8427968483686678
g0,g273,0.8314141844208605
g0,g407,0.9232136776035286
g0,g704,0.6052411462765076
g0,g651,0.6459661824627813
g0,g277,0.8832972049572481
g0,g574,0.41339515896678414
g0,g521,0.5590852348582609
g0,g200,0.6191957779314631
g0,g334,0.554103770830592
g0,g13,0.817923130446725
g0,g765,0.8607441124125458
g0,g444,0.5212153200547432
g0,g70,0.4089147601090793
g0,g688,0.7403259678244625
g0,g501,0.6526735013848678
g0,g314,0.5131877595582088
g0,g745,0.8170658062703281
g0,g78,0.4680013529372638
g0,g135,0.8784387857526237
g0,g379,0.6257269503581652
g0,g302,0.47579992654738656
g0,g115,0.7945491020454433
g0,g249,0.8721689509631965
g0,g196,0.5671215346277702
g0,g546,0.9069414372152085
g0,g119,0.8191315149372564
g0,g310,0.8738623331157198
g0,g794,0.5786378527412341
g0,g46,0.8657974039938903
g0,g424,0.35256205871929325
g0,g103,0.8794688843483531
g0,g721,0.8634581955187145
g0,g50,0.48660686702441763
g0,g534,0.5552230541446107
g0,g668,0.388213367092699
g0,g294,0.6650602943677888
g0,g778,0.7492023719594353
g0,g591,0.7485298764534543
g0,g217,0.7790016041192537
g0,g164,0.6473043049427349
g0,g595,0.9112013494703496
g0,g168,0.6778004440361947
g0,g656,0.6200832547423551
g0,g766,0.41840043008493716
g0,g579,0.6993199268220882
g0,g526,0.8564689693198628
g0,g205,0.5391054912477813
g0,g583,0.8102726706224703
g0,g453,0.7836138750971134
g0,g587,0.5524507190279133
g0,g136,0.44160343327260754
g0,g754,0.8637407966936257
g0,g380,0.38443400359307395
g0,g514,0.6097882917865138
g0,g758,0.6343261462433895
g0,g250,0.626123065259533
g0,g518,0.4557513494099381
g0,g331,0.5618160442141477
g0,g10,0.4406265929020859
g0,g762,0.8677170993038167
g0,g738,0.854090959629195
g0,g685,0.8933672491059872
g0,g742,0.794261757593122
g0,g689,0.7874210643616655
g0,g502,0.7877071337074063
g0,g425,0.8903609020339465
g0,g726,0.5101087152628384
g0,g189,0.49136838813902917
g0,g486,0.612305311334807
g0,g783,0.4229632443439212
g0,g112,0.39619337934612037
g0,g246,0.811820761346968
g0,g116,0.6177952446503605
g0,g791,0.840795335289039
g0,g714,0.7481641178298322
g0,g177,0.5969802175889933
g0,g153,0.4765414129260598
g0,g287,0.8262142362384924
g0,g665,0.4936784665768158
g0,g210,0.46306812511238404
g0,g722,0.6903854981064019
g0,g27,0.8881445164061892
g0,g779,0.6572945025548241
g0,g702,0.8004504103671507
g0,g462,0.4587197413407379
g0,g92,0.6507432985713999
g0,g442,0.42377914354444635
g1,g80,0.44112372065776473
g1,g564,0.4284796540566684
g1,g511,0.3757107614304438
g1,g755,0.34870140082993584
g1,g7,0.4323355674543861
g1,g198,0.3575820361150128
g1,g129,0.44550611800897805
g1,g479,0.3717015708187137
g1,g52,0.3749597526483034
g1,g670,0.33865867798328325
g1,g617,0.38847406576812527
g1,g300,0.4354037076529751
g1,g784,0.398322029217964
g1,g731,0.4049838124420037
g1,g711,0.3938509641769518
g1,g174,0.5856175560155097
g1,g97,0.3786161675060143
g1,g394,0.4471155975922029
g1,g24,0.3771905838472323
g1,g215,0.41012623708780044
g1,g138,0.3710297631617451
g1,g8,0.5171373468307428
g1,g390,0.40167823236992756
g1,g614,0.4318153569751709
g1,g748,0.4183642197552737
g1,g240,0.3346230882515139
g1,g134,0.38373152739341015
g1,g728,0.37316039205551543
g1,g679,0.39029215572801973
g1,g118,0.384173915841502
g1,g496,0.34381714170675987
g1,g537,0.4353626702498453
g1,g33,0.35846306946637174
g1,g517,0.5729401940695511
g1,g143,0.3978803356768157
g1,g204,0.35916673029115587
g1,g395,0.42768410512535915
g1,g74,0.3988467265114595
g1,g208,0.3395423714462551
g1,g509,0.3313130889649023
g1,g188,0.36507009382734007
g1,g139,0.3320536799924742
g1,g62,0.41599388647721053
g1,g794,0.3907386282265408
g1,g477,0.31451795742499683
g1,g184,0.4066703356283755
g1,g733,0.3650298557605336
g1,g412,0.48626860173274356
g1,g95,0.42338997592019867
g1,g286,0.33178835910621335
g1,g99,0.3561485862959835
g1,g26,0.4299643473291431
g1,g83,0.5142925536831272
g1,g701,0.5266682467032829
g1,g461,0.3182596699797491
g1,g384,0.3247231012767916
g1,g636,0.37988581359962414
g1,g262,0.35186071194946167
g1,g693,0.3940506872267597
g1,g429,0.42440300717407387
g1,g193,0.48663202833707475
g1,g677,0.3645899397781001
g1,g734,0.5145819412168883
g1,g608,0.34209836385434306
g1,g47,0.32902151771934784
g1,g157,0.4027104534462089
g1,g669,0.3817101226655006
g1,g31,0.39848936581578376
g1,g409,0.481483523784041
g1,g466,0.3232659912420969
g1,g336,0.4086101484157942
g1,g470,0.44382026997983304
g1,g206,0.36269434232467185
g1,g340,0.40337180458731
g1,g637,0.4074329987021058
g1,g747,0.44979486255117246
g2,g472,0.698760542086492
g2,g285,0.30717293982700183
g2,g720,0.5241334390466005
g2,g346,0.4518550675213497
g2,g350,0.3220389696695632
g2,g163,0.3670025721665674
g2,g647,0.5300742438546403
g2,g387,0.3450453640280262
g2,g257,0.5226063526778792
g2,g769,0.5671562771281903
g2,g505,0.33294533849399516
g2,g318,0.487669345764694
g2,g619,0.5319748038737212
g2,g192,0.5472430824149696
g2,g489,0.4348043119255643
g2,g757,0.49122040194319516
g2,g440,0.6399468605845101
g2,g790,0.45830424644271056
g2,g497,0.43092940888645825
g2,g176,0.33275687668622383
g2,g233,0.44788964423877053
g2,g180,0.4384521482973061
g2,g50,0.4807361617953322
g2,g347,0.4629375949010625
g2,g615,0.48449718576617584
g2,g160,0.35298375171611107
g2,g538,0.3529618517471376
g2,g782,0.4714619549177234
g2,g786,0.3483263392647557
g2,g709,0.5525414520738078
g2,g522,0.37438295770497937
g2,g636,0.6640739048355259
g2,g770,0.4007150072990467
g2,g99,0.3260875785517803
g2,g449,0.4211361846956458
g2,g717,0.5276325729965629
g2,g396,0.42475242237817934
g2,g209,0.34381803132252337
g2,g587,0.4178956183441304
g2,g79,0.4975761783877691
g2,g213,0.4027371444120748
g2,g457,0.64605201110631
g2,g461,0.4280695001110678
g2,g6,0.4446005171827286
g2,g494,0.6007362604566137
g2,g441,0.3685502357131692
g2,g254,0.31818013261884265
g2,g388,0.36008710387447324
g2,g201,0.4851444263584879
g2,g498,0.4406898764150706
g2,g445,0.4384244730315806
g2,g555,0.37851686769688153
g2,g315,0.48329963812458854
g2,g612,0.3707104856788936
g2,g746,0.42380872347729154
g2,g559,0.43331438359102914
g2,g616,0.48740730834828894
g2,g563,0.34759500168030294
g2,g242,0.4450864394478701
g2,g59,0.351420043609471
g2,g356,0.3311169427223184
g2,g490,0.4400404278182008
g2,g169,0.46757802404538484
g2,g173,0.4921969619991314
g2,g120,0.42517986599095936
g2,g43,0.43178846171255947
g2,g527,0.4333298742858183
g2,g795,0.5527960882967728
g2,g100,0.5272750665709258
g2,g234,0.3777439800810962
g2,g531,0.40981497740670914
g2,g665,0.3744577502906106
g2,g401,0.7048823968455203
g2,g214,0.4408211969748873
g2,g161,0.47966661845955444
g2,g458,0.43133404035879447
g2,g84,0.4729386104248357
g2,g352,0.4886666290478346
g2,g649,0.3819370001792346
g2,g328,0.36071110542686313
g2,g759,0.4736509206677531
g2,g222,0.32110262773356396
g2,g572,0.5661989772874726
g2,g710,0.36483567307359677
g2,g523,0.38234194691727674
g2,g202,0.49392706495584776
g2,g15,0.45735263402487664
g2,g633,0.5180507304747729
g2,g767,0.36751151100591595
g2,g259,0.44017280991880814
g2,g393,0.4048883250122074
g2,g129,0.4889305399378616
g2,g263,0.4107658133999174
g2,g243,0.3005278476273667
g2,g190,0.501678738793707
